id,title,album,views,videos,tt_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,duration_mins
1sx0XsWUusUoPstbvokZjP,A-O-K,A-O-K,25100000,158,6.953851540646709e+18,77.0,0.731,0.626,11.0,-6.919,1.0,0.0805,0.125,0.0,0.183,0.862,82.488,audio_features,spotify:track:1sx0XsWUusUoPstbvokZjP,https://api.spotify.com/v1/tracks/1sx0XsWUusUoPstbvokZjP,https://api.spotify.com/v1/audio-analysis/1sx0XsWUusUoPstbvokZjP,173640.0,4.0,2.894
6n4U3TlzUGhdSFbUUhTvLP,Walk It Talk It,Culture II,1200000,12,6.790838366146398e+18,76.0,0.907,0.633,2.0,-5.145,1.0,0.184,0.0876,2.6e-06,0.106,0.395,145.914,audio_features,spotify:track:6n4U3TlzUGhdSFbUUhTvLP,https://api.spotify.com/v1/tracks/6n4U3TlzUGhdSFbUUhTvLP,https://api.spotify.com/v1/audio-analysis/6n4U3TlzUGhdSFbUUhTvLP,276147.0,4.0,4.60245
4jDmJ51x1o9NZB5Nxxc7gY,Careless Whisper,Ladies & Gentlemen,101000,2,6.919913216013356e+18,81.0,0.574,0.629,2.0,-8.815,0.0,0.0363,0.128,0.0,0.271,0.786,153.119,audio_features,spotify:track:4jDmJ51x1o9NZB5Nxxc7gY,https://api.spotify.com/v1/tracks/4jDmJ51x1o9NZB5Nxxc7gY,https://api.spotify.com/v1/audio-analysis/4jDmJ51x1o9NZB5Nxxc7gY,300107.0,4.0,5.001783333333333
2P5yIMu2DNeMXTyOANKS6k,Nobody,Be the Cowboy,255100,3,6.754663153281322e+18,77.0,0.398,0.717,0.0,-5.253,1.0,0.0398,0.07,0.0,0.085,0.487,117.296,audio_features,spotify:track:2P5yIMu2DNeMXTyOANKS6k,https://api.spotify.com/v1/tracks/2P5yIMu2DNeMXTyOANKS6k,https://api.spotify.com/v1/audio-analysis/2P5yIMu2DNeMXTyOANKS6k,193429.0,4.0,3.2238166666666666
1Wdj4wRDYS7aT4CoPS0mAH,You Are Enough,Atlas: I,27900000,77,6.779450671369292e+18,76.0,0.593,0.5,1.0,-8.532,1.0,0.029,0.707,1.24e-05,0.0837,0.465,117.996,audio_features,spotify:track:1Wdj4wRDYS7aT4CoPS0mAH,https://api.spotify.com/v1/tracks/1Wdj4wRDYS7aT4CoPS0mAH,https://api.spotify.com/v1/audio-analysis/1Wdj4wRDYS7aT4CoPS0mAH,180087.0,4.0,3.00145
776AftMmFFAWUIEAb3lHhw,ZITTI E BUONI,ZITTI E BUONI,405000,44,6.935263654414436e+18,82.0,0.625,0.939,4.0,-3.115,0.0,0.0669,0.00138,0.0,0.424,0.644,102.999,audio_features,spotify:track:776AftMmFFAWUIEAb3lHhw,https://api.spotify.com/v1/tracks/776AftMmFFAWUIEAb3lHhw,https://api.spotify.com/v1/audio-analysis/776AftMmFFAWUIEAb3lHhw,194787.0,4.0,3.24645
5InOp6q2vvx0fShv3bzFLZ,Know Yourself,If You're Reading This It's Too Late,426100,27,6.883367197402466e+18,72.0,0.72,0.412,11.0,-8.687,0.0,0.223,0.196,0.0,0.342,0.179,114.408,audio_features,spotify:track:5InOp6q2vvx0fShv3bzFLZ,https://api.spotify.com/v1/tracks/5InOp6q2vvx0fShv3bzFLZ,https://api.spotify.com/v1/audio-analysis/5InOp6q2vvx0fShv3bzFLZ,275840.0,4.0,4.597333333333333
5gbszghyfBJXqS9YxJmoQo,The Magic Bomb (Questions I Get Asked) [Extended Mix],The Magic Bomb (Questions I Get Asked) [Extended Mix],36100000,78,6.953271592634616e+18,59.0,0.736,0.904,7.0,-6.855,1.0,0.061,0.149,0.708,0.442,0.236,142.009,audio_features,spotify:track:5gbszghyfBJXqS9YxJmoQo,https://api.spotify.com/v1/tracks/5gbszghyfBJXqS9YxJmoQo,https://api.spotify.com/v1/audio-analysis/5gbszghyfBJXqS9YxJmoQo,331268.0,4.0,5.521133333333333
6eBK3edMW7bEzecF1eCezc,(Everything I Do) I Do It for You,Never Say Never,161300000,186,7.00108128065823e+18,66.0,0.526,0.365,1.0,-12.605,1.0,0.028,0.0775,1.35e-05,0.0618,0.253,131.253,audio_features,spotify:track:6eBK3edMW7bEzecF1eCezc,https://api.spotify.com/v1/tracks/6eBK3edMW7bEzecF1eCezc,https://api.spotify.com/v1/audio-analysis/6eBK3edMW7bEzecF1eCezc,394133.0,4.0,6.568883333333333
7raprblR3NfeuiV72Lz5Il,Mporei,Mporei,460500,197,6.960616031303764e+18,63.0,0.579,0.593,0.0,-6.369,0.0,0.25,0.135,0.0,0.0877,0.359,100.967,audio_features,spotify:track:7raprblR3NfeuiV72Lz5Il,https://api.spotify.com/v1/tracks/7raprblR3NfeuiV72Lz5Il,https://api.spotify.com/v1/audio-analysis/7raprblR3NfeuiV72Lz5Il,211188.0,4.0,3.5198
