title_tt,title_sp,album_tt,album_sp,artist,videos,views,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,popularity
A-O-K,A-O-K,A-O-K,TV,Tai Verdes,160,25100000,0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,0.183,0.862,82.488,4,173640,76
Walk It Talk It,Walk It Talk It,Culture II,Culture II,"Migos, Drake",13,1200000,0.907,0.633,2,-5.145,1,0.184,0.0876,2.6e-06,0.106,0.395,145.914,4,276147,76
Careless Whisper,Careless Whisper,Ladies & Gentlemen,Ladies And Gentlemen... The Best Of George Michael,George Michael,467,27300000,0.574,0.629,2,-8.815,0,0.0363,0.128,0.0,0.271,0.786,153.119,4,300107,83
Nobody,Nobody,Be the Cowboy,Be the Cowboy,Mitski,58,2000000,0.398,0.717,0,-5.253,1,0.0398,0.07,0.0,0.085,0.487,117.296,4,193429,78
You Are Enough,You Are Enough,Atlas: I,Atlas: I,Sleeping At Last,77,27900000,0.593,0.5,1,-8.532,1,0.029,0.707,1.24e-05,0.0837,0.465,117.996,4,180087,76
ZITTI E BUONI,ZITTI E BUONI,ZITTI E BUONI,Teatro d'ira - Vol. I,Måneskin,44,405000,0.625,0.939,4,-3.115,0,0.0669,0.00138,0.0,0.424,0.644,102.999,4,194787,80
Know Yourself,Know Yourself,If You're Reading This It's Too Late,If You're Reading This It's Too Late,Drake,709,37200000,0.72,0.412,11,-8.687,0,0.223,0.196,0.0,0.342,0.179,114.408,4,275840,71
The Magic Bomb (Questions I Get Asked) [Extended Mix],The Magic Bomb (Questions I Get Asked) - Extended Mix,The Magic Bomb (Questions I Get Asked) [Extended Mix],The Magic Bomb (Questions I Get Asked),Hoàng Read,1069,208700000,0.736,0.904,7,-6.855,1,0.061,0.149,0.708,0.442,0.236,142.009,4,331268,57
(Everything I Do) I Do It for You,(Everything I Do) I Do It For You,Never Say Never,Waking Up The Neighbours,Bryan Adams,15,216400,0.526,0.365,1,-12.605,1,0.028,0.0775,1.35e-05,0.0618,0.253,131.253,4,394133,65
Mporei,Mporei,Mporei,Mporei,"Mad Clip, Eleni Foureira, Skive",198,460500,0.579,0.593,0,-6.369,0,0.25,0.135,0.0,0.0877,0.359,100.967,4,211188,61
Life Goes On,Life Goes On,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)","Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Oliver Tree,708,117300000,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,4,161803,93
